,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
137,1137,Ryan Fraser,SCO,FW,Newcastle Utd,Premier League,28,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2
138,1138,Fred,BRA,MF,Manchester Utd,Premier League,29,0.14,0.14,0.29,0.14,0.29,0.14,0.21,0.35,0.14,0.35
139,1139,Angelo Fulgini,FRA,"MF,FW",Lens,Ligue 1,25,0.1,0.1,0.21,0.1,0.21,0.13,0.29,0.42,0.13,0.42
140,1140,Matteo Gabbia,ITA,DF,Milan,Serie A,22,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
141,1141,Gianluca Gaetano,ITA,MF,Napoli,Serie A,22,1.18,1.18,2.37,1.18,2.37,1.42,0.22,1.64,1.42,1.64
142,1142,Roberto Gagliardini,ITA,MF,Inter,Serie A,28,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13
143,1143,Ignatius Ganago,CMR,FW,Lens,Ligue 1,23,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
144,1144,Eric García,ESP,"DF,MF",Barcelona,La Liga,21,0.06,0.0,0.06,0.06,0.06,0.1,0.02,0.11,0.1,0.11
145,1145,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,Premier League,18,0.47,0.32,0.79,0.47,0.79,0.48,0.16,0.64,0.48,0.64
146,1146,Aleix Garrido,ESP,FW,Barcelona,La Liga,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1147,Gavi,ESP,"MF,FW",Barcelona,La Liga,17,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24
148,1148,David de Gea,ESP,GK,Manchester Utd,Premier League,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1149,Ismaël Gharbi,ESP,"MF,FW",Paris S-G,Ligue 1,18,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32
150,1150,Niko Gießelmann,GER,DF,Union Berlin,Bundesliga,30,0.0,0.14,0.14,0.0,0.14,0.08,0.11,0.19,0.08,0.19
151,1151,Bryan Gil,ESP,"FW,DF",Sevilla,La Liga,21,0.2,0.2,0.39,0.2,0.39,0.28,0.07,0.35,0.28,0.35
152,1152,Mario Gila,ESP,DF,Lazio,Serie A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1153,Olivier Giroud,FRA,FW,Milan,Serie A,35,0.55,0.21,0.76,0.42,0.63,0.53,0.17,0.7,0.44,0.61
154,1154,Serge Gnabry,GER,"FW,MF",Bayern Munich,Bundesliga,27,0.65,0.23,0.88,0.6,0.83,0.52,0.25,0.76,0.48,0.73
155,1155,Pierluigi Gollini,ITA,GK,Napoli,Serie A,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1156,Papu Gómez,ARG,"FW,MF",Sevilla,La Liga,34,0.08,0.08,0.17,0.08,0.17,0.12,0.15,0.27,0.12,0.27
157,1157,Sergio Gómez,ESP,"DF,MF",Manchester City,Premier League,21,0.0,0.26,0.26,0.0,0.26,0.09,0.3,0.39,0.09,0.39
158,1158,Antonio Gomis,ESP,GK,Atlético Madrid,La Liga,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1159,Anthony Gordon,ENG,"FW,MF",Newcastle Utd,Premier League,21,0.18,0.0,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48
160,1160,Leon Goretzka,GER,MF,Bayern Munich,Bundesliga,27,0.16,0.1,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37
161,1161,Andoni Gorosabel,ESP,DF,Real Sociedad,La Liga,25,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
162,1162,Robin Gosens,GER,DF,Inter,Serie A,28,0.23,0.0,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41
163,1163,Jonathan Gradit,FRA,DF,Lens,Ligue 1,29,0.03,0.1,0.13,0.03,0.13,0.03,0.04,0.06,0.03,0.06
164,1164,Ryan Gravenberch,NED,MF,Bayern Munich,Bundesliga,20,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.21,0.14,0.21
165,1165,Ivo Grbić,CRO,GK,Atlético Madrid,La Liga,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1166,Jack Grealish,ENG,FW,Manchester City,Premier League,26,0.22,0.31,0.53,0.22,0.53,0.2,0.31,0.51,0.2,0.51
167,1167,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,La Liga,31,0.47,0.5,0.98,0.47,0.98,0.39,0.44,0.83,0.39,0.83
168,1168,Lennart Grill,GER,GK,Union Berlin,Bundesliga,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1169,Nemanja Gudelj,SRB,"DF,MF",Sevilla,La Liga,30,0.1,0.03,0.13,0.1,0.13,0.06,0.01,0.07,0.06,0.07
170,1170,Raphaël Guerreiro,POR,"DF,MF",Dortmund,Bundesliga,28,0.16,0.47,0.63,0.16,0.63,0.11,0.3,0.41,0.11,0.41
171,1171,Ander Guevara,ESP,MF,Real Sociedad,La Liga,25,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.29,0.01,0.29
172,1172,Pape Gueye,SEN,MF,Sevilla,La Liga,23,0.08,0.23,0.31,0.08,0.31,0.1,0.09,0.18,0.1,0.18
173,1173,Bruno Guimarães,BRA,MF,Newcastle Utd,Premier League,24,0.13,0.17,0.3,0.13,0.3,0.09,0.13,0.23,0.09,0.23
174,1174,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1175,İlkay Gündoğan,GER,MF,Manchester City,Premier League,31,0.31,0.15,0.46,0.31,0.46,0.29,0.13,0.41,0.26,0.38
176,1176,Joško Gvardiol,CRO,DF,RB Leipzig,Bundesliga,20,0.04,0.0,0.04,0.04,0.04,0.08,0.03,0.1,0.08,0.1
177,1177,Erling Haaland,NOR,FW,Manchester City,Premier League,22,1.17,0.26,1.43,0.94,1.2,0.92,0.17,1.1,0.75,0.92
178,1178,Janik Haberer,GER,MF,Union Berlin,Bundesliga,28,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.22,0.13,0.22
179,1179,Amadou Haidara,MLI,MF,RB Leipzig,Bundesliga,24,0.13,0.06,0.19,0.13,0.19,0.18,0.09,0.27,0.18,0.27
