,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1586,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,33,0.73,0.22,0.95,0.73,0.95,0.77,0.20,0.97,0.74,0.94
1587,Jamie Leweling,de GER,"FW,MF",Union Berlin,de Bundesliga,21,0.34,0.34,0.68,0.34,0.68,0.22,0.09,0.32,0.22,0.32
1588,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,eng Premier League,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1589,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,17,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17
1593,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,22,0.11,0.04,0.15,0.11,0.15,0.04,0.02,0.06,0.04,0.06
1595,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
1607,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,27,0.05,0.11,0.16,0.05,0.16,0.11,0.20,0.32,0.11,0.32
1610,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,27,0.03,0.03,0.06,0.03,0.06,0.02,0.03,0.05,0.02,0.05
1618,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,24,0.04,0.14,0.18,0.04,0.18,0.13,0.12,0.25,0.13,0.25
1636,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,27,0.17,0.17,0.34,0.11,0.28,0.30,0.19,0.49,0.26,0.45
1645,Romelu Lukaku,be BEL,FW,Inter,it Serie A,29,0.54,0.33,0.87,0.43,0.76,0.49,0.22,0.71,0.40,0.62
1650,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1658,Deiver Machado,co COL,"DF,MF",Lens,fr Ligue 1,28,0.16,0.12,0.29,0.16,0.29,0.05,0.12,0.17,0.05,0.17
1670,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,29,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
1671,Jon Magunacelaya,es ESP,"MF,FW",Real Sociedad,es La Liga,22,0.00,0.00,0.00,0.00,0.00,0.03,0.56,0.59,0.03,0.59
1672,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,eng Premier League,31,0.23,0.47,0.70,0.19,0.66,0.26,0.33,0.59,0.22,0.55
1674,Mike Maignan,fr FRA,GK,Milan,it Serie A,27,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00
1676,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1684,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,22,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
1690,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,23,0.47,0.32,0.79,0.47,0.79,0.48,0.23,0.71,0.48,0.71
1699,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,28,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04
1702,Sadio Mané,sn SEN,"FW,MF",Bayern Munich,de Bundesliga,30,0.44,0.32,0.76,0.38,0.69,0.56,0.25,0.81,0.46,0.70
1706,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
