Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
85,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25-224,1998,7,6,559,6.2,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,1,8,0,0.16,0.00,0.16,0.16,0.16,0.07,0.00,0.07,0.07,0.07,Matches
86,Fabrizio Angileri,ar ARG,"DF,FW",Getafe,es La Liga,29-220,1994,3,1,74,0.8,0,0,0,0,0,0,1,1,0.0,0.0,0.2,0.2,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Matches
87,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23-324,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
88,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27-093,1996,7,7,630,7.0,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,12,35,6,0.00,0.14,0.14,0.00,0.14,0.05,0.02,0.07,0.05,0.07,Matches
89,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-207,1990,8,8,593,6.6,2,1,3,2,0,0,2,0,1.1,1.1,0.6,1.6,15,9,26,0.30,0.15,0.46,0.30,0.46,0.16,0.09,0.25,0.16,0.25,Matches
90,Antony,br BRA,"FW,MF",Manchester Utd,eng Premier League,23-239,2000,5,4,336,3.7,0,0,0,0,0,0,1,0,0.7,0.7,0.8,1.5,18,18,52,0.00,0.00,0.00,0.00,0.00,0.19,0.22,0.41,0.19,0.41,Matches
91,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29-256,1994,7,2,313,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,12,6,36,0.00,0.00,0.00,0.00,0.00,0.17,0.21,0.38,0.17,0.38,Matches
92,Houssem Aouar,dz ALG,MF,Roma,it Serie A,25-113,1998,6,3,251,2.8,2,0,2,2,0,0,3,0,1.0,1.0,0.2,1.2,5,8,10,0.72,0.00,0.72,0.72,0.72,0.35,0.08,0.43,0.35,0.43,Matches
93,Stredair Appuah,fr FRA,FW,Nantes,fr Ligue 1,19-116,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,0,0,0.00,0.00,0.00,0.00,0.00,1.41,0.00,1.41,1.41,1.41,Matches
94,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28-021,1995,6,2,294,3.3,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,17,6,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
95,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,22-069,2001,7,6,499,5.5,0,0,0,0,0,0,2,0,0.3,0.3,0.5,0.8,9,24,13,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.15,0.06,0.15,Matches
